model,state,observations,dwell_time,estimates,TRUE,mean,median,sd,bias_mean,bias_mean_pp,bias_median,bias_median_pp,coverage_pp
medhmm,3,200,19.5,gamma_prob_bar_S3toS2,0.5,0.51,0.51,0.04,0.01,1.2,0.01,1.22,97.66
medhmm,3,200,19.5,gamma_prob_bar_S3toS3,0,0,0,0,0,NA,0,NA,100
medhmm,3,200,99.5,dwell_mu_bar_1,99.5,82.27,83.1,0.1,-17.21,17.3,-16.37,16.46,30.71
medhmm,3,200,99.5,dwell_mu_bar_2,99.5,76.71,79.84,0.18,-23,23.11,-19.43,19.53,28.35
medhmm,3,200,99.5,dwell_mu_bar_3,99.5,83.1,83.93,0.1,-16.51,16.59,-15.8,15.88,37.8
medhmm,3,200,99.5,gamma_prob_bar_S1toS1,0,0,0,0,0,NA,0,NA,100
medhmm,3,200,99.5,gamma_prob_bar_S1toS2,0.5,0.52,0.52,0.09,0.02,4.08,0.02,4.23,92.91
medhmm,3,200,99.5,gamma_prob_bar_S1toS3,0.5,0.48,0.48,0.09,-0.02,4.08,-0.02,4.23,92.91
medhmm,3,200,99.5,gamma_prob_bar_S2toS1,0.5,0.5,0.51,0.1,0,1,0.01,1.01,96.85
medhmm,3,200,99.5,gamma_prob_bar_S2toS2,0,0,0,0,0,NA,0,NA,100
medhmm,3,200,99.5,gamma_prob_bar_S2toS3,0.5,0.5,0.49,0.1,0,1,-0.01,1.01,96.85
medhmm,3,200,99.5,gamma_prob_bar_S3toS1,0.5,0.48,0.48,0.1,-0.02,3.24,-0.02,3.12,93.7
medhmm,3,200,99.5,gamma_prob_bar_S3toS2,0.5,0.52,0.52,0.1,0.02,3.24,0.02,3.12,93.7
medhmm,3,200,99.5,gamma_prob_bar_S3toS3,0,0,0,0,0,NA,0,NA,100
medhmm,3,500,1.4,dwell_mu_bar_1,1.44,13.46,13.46,0.18,12.03,834.15,11.97,829.72,0
medhmm,3,500,1.4,dwell_mu_bar_2,1.44,17.81,17.81,0.18,16.35,1133.36,16.31,1130.57,0
medhmm,3,500,1.4,dwell_mu_bar_3,1.44,13.6,13.6,0.18,12.21,846.3,12.15,842.36,0
medhmm,3,500,1.4,gamma_prob_bar_S1toS1,0,0,0,0,0,NA,0,NA,100
medhmm,3,500,1.4,gamma_prob_bar_S1toS2,0.5,0.47,0.48,0.14,-0.03,5.1,-0.02,4.83,80.47
medhmm,3,500,1.4,gamma_prob_bar_S1toS3,0.5,0.53,0.52,0.14,0.03,5.1,0.02,4.83,80.47
medhmm,3,500,1.4,gamma_prob_bar_S2toS1,0.5,0.5,0.5,0.14,0,0.05,0,0.06,96.88
medhmm,3,500,1.4,gamma_prob_bar_S2toS2,0,0,0,0,0,NA,0,NA,100
medhmm,3,500,1.4,gamma_prob_bar_S2toS3,0.5,0.5,0.5,0.14,0,0.05,0,0.06,96.88
medhmm,3,500,1.4,gamma_prob_bar_S3toS1,0.5,0.53,0.52,0.14,0.03,5.08,0.02,4.95,82.81
medhmm,3,500,1.4,gamma_prob_bar_S3toS2,0.5,0.47,0.48,0.14,-0.03,5.08,-0.02,4.95,82.81
medhmm,3,500,1.4,gamma_prob_bar_S3toS3,0,0,0,0,0,NA,0,NA,100
medhmm,3,500,3.5,dwell_mu_bar_1,3.48,4.53,4.53,0.05,1.05,30.24,1.05,30.19,0
medhmm,3,500,3.5,dwell_mu_bar_2,3.48,4.95,4.95,0.05,1.49,42.88,1.48,42.68,0
medhmm,3,500,3.5,dwell_mu_bar_3,3.48,4.53,4.53,0.05,1.05,30.28,1.05,30.25,0
medhmm,3,500,3.5,gamma_prob_bar_S1toS1,0,0,0,0,0,NA,0,NA,100
medhmm,3,500,3.5,gamma_prob_bar_S1toS2,0.5,0.48,0.48,0.04,-0.02,3.53,-0.02,3.4,87.5
medhmm,3,500,3.5,gamma_prob_bar_S1toS3,0.5,0.52,0.52,0.04,0.02,3.53,0.02,3.4,87.5
medhmm,3,500,3.5,gamma_prob_bar_S2toS1,0.5,0.48,0.48,0.05,-0.02,4.14,-0.02,4.18,89.06
medhmm,3,500,3.5,gamma_prob_bar_S2toS2,0,0,0,0,0,NA,0,NA,100
medhmm,3,500,3.5,gamma_prob_bar_S2toS3,0.5,0.52,0.52,0.05,0.02,4.14,0.02,4.18,89.06
medhmm,3,500,3.5,gamma_prob_bar_S3toS1,0.5,0.49,0.49,0.04,-0.01,1.42,-0.01,1.6,82.81
medhmm,3,500,3.5,gamma_prob_bar_S3toS2,0.5,0.51,0.51,0.04,0.01,1.42,0.01,1.6,82.81
medhmm,3,500,3.5,gamma_prob_bar_S3toS3,0,0,0,0,0,NA,0,NA,100
medhmm,3,500,19.5,dwell_mu_bar_1,19.5,19.49,19.49,0.05,-0.07,0.34,-0.07,0.35,91.41
medhmm,3,500,19.5,dwell_mu_bar_2,19.5,19.3,19.3,0.05,-0.17,0.86,-0.17,0.87,95.31
medhmm,3,500,19.5,dwell_mu_bar_3,19.5,19.3,19.3,0.05,-0.12,0.63,-0.12,0.63,94.53
medhmm,3,500,19.5,gamma_prob_bar_S1toS1,0,0,0,0,0,NA,0,NA,100
medhmm,3,500,19.5,gamma_prob_bar_S1toS2,0.5,0.5,0.5,0.03,0,0.85,0,0.86,96.88
medhmm,3,500,19.5,gamma_prob_bar_S1toS3,0.5,0.5,0.5,0.03,0,0.85,0,0.86,96.88
medhmm,3,500,19.5,gamma_prob_bar_S2toS1,0.5,0.5,0.5,0.03,0,0.04,0,0.04,98.44
medhmm,3,500,19.5,gamma_prob_bar_S2toS2,0,0,0,0,0,NA,0,NA,100
medhmm,3,500,19.5,gamma_prob_bar_S2toS3,0.5,0.5,0.5,0.03,0,0.04,0,0.04,98.44
medhmm,3,500,19.5,gamma_prob_bar_S3toS1,0.5,0.5,0.5,0.03,0,0.92,0,0.93,98.44
medhmm,3,500,19.5,gamma_prob_bar_S3toS2,0.5,0.5,0.5,0.03,0,0.92,0,0.93,98.44
medhmm,3,500,19.5,gamma_prob_bar_S3toS3,0,0,0,0,0,NA,0,NA,100
medhmm,3,500,99.5,dwell_mu_bar_1,99.5,96.54,96.54,0.06,-3.37,3.38,-3.39,3.41,89.06
medhmm,3,500,99.5,dwell_mu_bar_2,99.5,95.58,95.58,0.06,-3.78,3.8,-3.8,3.82,89.84
medhmm,3,500,99.5,dwell_mu_bar_3,99.5,95.58,95.58,0.06,-3.53,3.55,-3.55,3.57,91.41
medhmm,3,500,99.5,gamma_prob_bar_S1toS1,0,0,0,0,0,NA,0,NA,100
medhmm,3,500,99.5,gamma_prob_bar_S1toS2,0.5,0.5,0.5,0.06,0,0.45,0,0.39,96.88
medhmm,3,500,99.5,gamma_prob_bar_S1toS3,0.5,0.5,0.5,0.06,0,0.45,0,0.39,96.88
medhmm,3,500,99.5,gamma_prob_bar_S2toS1,0.5,0.5,0.5,0.06,0,0.24,0,0.24,93.75
medhmm,3,500,99.5,gamma_prob_bar_S2toS2,0,0,0,0,0,NA,0,NA,100
medhmm,3,500,99.5,gamma_prob_bar_S2toS3,0.5,0.5,0.5,0.06,0,0.24,0,0.24,93.75
medhmm,3,500,99.5,gamma_prob_bar_S3toS1,0.5,0.5,0.5,0.06,0,0.55,0,0.6,92.97
medhmm,3,500,99.5,gamma_prob_bar_S3toS2,0.5,0.5,0.5,0.06,0,0.55,0,0.6,92.97
medhmm,3,500,99.5,gamma_prob_bar_S3toS3,0,0,0,0,0,NA,0,NA,100
medhmm,3,1000,1.4,dwell_mu_bar_1,1.44,14.88,14.88,0.19,13.44,931.9,13.4,928.89,0
medhmm,3,1000,1.4,dwell_mu_bar_2,1.44,17.99,17.99,0.19,16.52,1145.16,16.48,1142.56,0
medhmm,3,1000,1.4,dwell_mu_bar_3,1.44,15.33,15.33,0.19,13.87,961.58,13.83,958.38,0
medhmm,3,1000,1.4,gamma_prob_bar_S1toS1,0,0,0,0,0,NA,0,NA,100
medhmm,3,1000,1.4,gamma_prob_bar_S1toS2,0.5,0.53,0.53,0.16,0.03,5.84,0.03,6.67,95.31
medhmm,3,1000,1.4,gamma_prob_bar_S1toS3,0.5,0.47,0.47,0.16,-0.03,5.84,-0.03,6.67,95.31
medhmm,3,1000,1.4,gamma_prob_bar_S2toS1,0.5,0.51,0.51,0.16,0.01,1.67,0.01,1.62,99.22
medhmm,3,1000,1.4,gamma_prob_bar_S2toS2,0,0,0,0,0,NA,0,NA,100
medhmm,3,1000,1.4,gamma_prob_bar_S2toS3,0.5,0.49,0.49,0.16,-0.01,1.67,-0.01,1.62,99.22
medhmm,3,1000,1.4,gamma_prob_bar_S3toS1,0.5,0.48,0.47,0.16,-0.02,4.28,-0.03,5.04,93.75
medhmm,3,1000,1.4,gamma_prob_bar_S3toS2,0.5,0.52,0.53,0.16,0.02,4.28,0.03,5.04,93.75
medhmm,3,1000,1.4,gamma_prob_bar_S3toS3,0,0,0,0,0,NA,0,NA,100
medhmm,3,1000,3.5,dwell_mu_bar_1,3.48,4.71,4.71,0.05,1.24,35.62,1.24,35.6,0
medhmm,3,1000,3.5,dwell_mu_bar_2,3.48,4.95,4.95,0.05,1.49,42.91,1.48,42.68,0
medhmm,3,1000,3.5,dwell_mu_bar_3,3.48,4.76,4.76,0.05,1.26,36.39,1.26,36.37,0
medhmm,3,1000,3.5,gamma_prob_bar_S1toS1,0,0,0,0,0,NA,0,NA,100
medhmm,3,1000,3.5,gamma_prob_bar_S1toS2,0.5,0.47,0.47,0.05,-0.03,6.74,-0.03,6.4,86.72
medhmm,3,1000,3.5,gamma_prob_bar_S1toS3,0.5,0.53,0.53,0.05,0.03,6.74,0.03,6.4,86.72
medhmm,3,1000,3.5,gamma_prob_bar_S2toS1,0.5,0.48,0.48,0.05,-0.02,3.63,-0.02,3.68,90.62
medhmm,3,1000,3.5,gamma_prob_bar_S2toS2,0,0,0,0,0,NA,0,NA,100
medhmm,3,1000,3.5,gamma_prob_bar_S2toS3,0.5,0.52,0.52,0.05,0.02,3.63,0.02,3.68,90.62
medhmm,3,1000,3.5,gamma_prob_bar_S3toS1,0.5,0.52,0.52,0.05,0.02,3.63,0.02,3.29,85.16
medhmm,3,1000,3.5,gamma_prob_bar_S3toS2,0.5,0.48,0.48,0.05,-0.02,3.63,-0.02,3.29,85.16
medhmm,3,1000,3.5,gamma_prob_bar_S3toS3,0,0,0,0,0,NA,0,NA,100
medhmm,3,1000,19.5,dwell_mu_bar_1,19.5,19.49,19.49,0.05,-0.02,0.1,-0.02,0.11,94.53
medhmm,3,1000,19.5,dwell_mu_bar_2,19.5,19.49,19.49,0.05,-0.09,0.45,-0.09,0.46,92.97
medhmm,3,1000,19.5,dwell_mu_bar_3,19.5,19.49,19.49,0.05,-0.01,0.06,-0.01,0.06,94.53
medhmm,3,1000,19.5,gamma_prob_bar_S1toS1,0,0,0,0,0,NA,0,NA,100
medhmm,3,1000,19.5,gamma_prob_bar_S1toS2,0.5,0.5,0.5,0.02,0,0.05,0,0.06,98.44
medhmm,3,1000,19.5,gamma_prob_bar_S1toS3,0.5,0.5,0.5,0.02,0,0.05,0,0.06,98.44
medhmm,3,1000,19.5,gamma_prob_bar_S2toS1,0.5,0.5,0.5,0.02,0,0.3,0,0.3,97.66
medhmm,3,1000,19.5,gamma_prob_bar_S2toS2,0,0,0,0,0,NA,0,NA,100
medhmm,3,1000,19.5,gamma_prob_bar_S2toS3,0.5,0.5,0.5,0.02,0,0.3,0,0.3,97.66
medhmm,3,1000,19.5,gamma_prob_bar_S3toS1,0.5,0.5,0.5,0.02,0,0.35,0,0.35,99.22
medhmm,3,1000,19.5,gamma_prob_bar_S3toS2,0.5,0.5,0.5,0.02,0,0.35,0,0.35,99.22
medhmm,3,1000,19.5,gamma_prob_bar_S3toS3,0,0,0,0,0,NA,0,NA,100
medhmm,3,1000,99.5,dwell_mu_bar_1,99.5,98.49,98.49,0.05,-0.86,0.86,-0.86,0.87,95.31
medhmm,3,1000,99.5,dwell_mu_bar_2,99.5,97.51,97.51,0.05,-1.62,1.62,-1.63,1.64,96.09
medhmm,3,1000,99.5,dwell_mu_bar_3,99.5,98.49,98.49,0.05,-0.7,0.7,-0.7,0.71,92.19
medhmm,3,1000,99.5,gamma_prob_bar_S1toS1,0,0,0,0,0,NA,0,NA,100
medhmm,3,1000,99.5,gamma_prob_bar_S1toS2,0.5,0.5,0.5,0.04,0,0.23,0,0.22,95.31
medhmm,3,1000,99.5,gamma_prob_bar_S1toS3,0.5,0.5,0.5,0.04,0,0.23,0,0.22,95.31
medhmm,3,1000,99.5,gamma_prob_bar_S2toS1,0.5,0.5,0.5,0.04,0,0.2,0,0.2,96.88
medhmm,3,1000,99.5,gamma_prob_bar_S2toS2,0,0,0,0,0,NA,0,NA,100
medhmm,3,1000,99.5,gamma_prob_bar_S2toS3,0.5,0.5,0.5,0.04,0,0.2,0,0.2,96.88
medhmm,3,1000,99.5,gamma_prob_bar_S3toS1,0.5,0.5,0.5,0.04,0,0.2,0,0.21,94.53
medhmm,3,1000,99.5,gamma_prob_bar_S3toS2,0.5,0.5,0.5,0.04,0,0.2,0,0.21,94.53
medhmm,3,1000,99.5,gamma_prob_bar_S3toS3,0,0,0,0,0,NA,0,NA,100
medhmm,4,200,1.4,dwell_mu_bar_1,1.44,4.76,4.76,0.05,3.3,228.75,3.29,228.32,0
medhmm,4,200,1.4,dwell_mu_bar_2,1.44,10.7,10.49,0.2,9.25,641.03,9.03,626.18,0
medhmm,4,200,1.4,dwell_mu_bar_3,1.44,10.49,10.28,0.2,9.09,630.04,8.84,612.87,0
medhmm,4,200,1.4,dwell_mu_bar_4,1.44,4.81,4.81,0.05,3.35,231.92,3.34,231.65,0
medhmm,4,200,1.4,gamma_prob_bar_S1toS1,0,0,0,0,0,NA,0,NA,100
medhmm,4,200,1.4,gamma_prob_bar_S1toS2,0.33,0.25,0.25,0.09,-0.08,24.18,-0.09,25.8,85.94
medhmm,4,200,1.4,gamma_prob_bar_S1toS3,0.33,0.25,0.24,0.09,-0.09,26.3,-0.09,28.1,83.59
medhmm,4,200,1.4,gamma_prob_bar_S1toS4,0.33,0.5,0.5,0.07,0.17,50.48,0.17,50.4,33.59
medhmm,4,200,1.4,gamma_prob_bar_S2toS1,0.33,0.47,0.47,0.09,0.14,42.12,0.14,41.95,72.66
medhmm,4,200,1.4,gamma_prob_bar_S2toS2,0,0,0,0,0,NA,0,NA,100
medhmm,4,200,1.4,gamma_prob_bar_S2toS3,0.33,0.03,0.02,0.02,-0.31,92.16,-0.31,93.94,0.78
medhmm,4,200,1.4,gamma_prob_bar_S2toS4,0.33,0.5,0.5,0.09,0.17,50.04,0.17,50.26,56.25
medhmm,4,200,1.4,gamma_prob_bar_S3toS1,0.33,0.48,0.48,0.09,0.15,43.84,0.14,43.48,60.16
medhmm,4,200,1.4,gamma_prob_bar_S3toS2,0.33,0.02,0.02,0.02,-0.31,92.85,-0.31,94.48,0.78
medhmm,4,200,1.4,gamma_prob_bar_S3toS3,0,0,0,0,0,NA,0,NA,100
medhmm,4,200,1.4,gamma_prob_bar_S3toS4,0.33,0.5,0.5,0.09,0.16,49.01,0.16,49.27,56.25
medhmm,4,200,1.4,gamma_prob_bar_S4toS1,0.33,0.5,0.5,0.07,0.17,49.72,0.17,49.53,39.84
medhmm,4,200,1.4,gamma_prob_bar_S4toS2,0.33,0.25,0.24,0.1,-0.09,25.66,-0.09,27.68,86.72
medhmm,4,200,1.4,gamma_prob_bar_S4toS3,0.33,0.25,0.25,0.1,-0.08,24.06,-0.08,25.37,85.16
medhmm,4,200,1.4,gamma_prob_bar_S4toS4,0,0,0,0,0,NA,0,NA,100
medhmm,4,200,3.5,dwell_mu_bar_1,3.48,3.9,3.9,0.04,0.4,11.58,0.4,11.59,24.22
medhmm,4,200,3.5,dwell_mu_bar_2,3.48,4.66,4.66,0.04,1.17,33.75,1.17,33.76,0
medhmm,4,200,3.5,dwell_mu_bar_3,3.48,4.57,4.57,0.04,1.1,31.77,1.1,31.75,0
medhmm,4,200,3.5,dwell_mu_bar_4,3.48,3.94,3.94,0.04,0.44,12.8,0.44,12.8,14.84
medhmm,4,200,3.5,gamma_prob_bar_S1toS1,0,0,0,0,0,NA,0,NA,100
medhmm,4,200,3.5,gamma_prob_bar_S1toS2,0.33,0.27,0.27,0.03,-0.06,18.05,-0.06,18.11,25.78
medhmm,4,200,3.5,gamma_prob_bar_S1toS3,0.33,0.42,0.42,0.03,0.08,25.33,0.08,25.22,23.44
medhmm,4,200,3.5,gamma_prob_bar_S1toS4,0.33,0.31,0.31,0.03,-0.02,7.28,-0.02,7.34,82.03
medhmm,4,200,3.5,gamma_prob_bar_S2toS1,0.33,0.29,0.29,0.03,-0.04,13.17,-0.04,13.22,57.03
medhmm,4,200,3.5,gamma_prob_bar_S2toS2,0,0,0,0,0,NA,0,NA,100
medhmm,4,200,3.5,gamma_prob_bar_S2toS3,0.33,0.35,0.35,0.03,0.01,4.33,0.01,4.26,75
medhmm,4,200,3.5,gamma_prob_bar_S2toS4,0.33,0.36,0.36,0.03,0.03,8.84,0.03,8.73,72.66
medhmm,4,200,3.5,gamma_prob_bar_S3toS1,0.33,0.4,0.39,0.03,0.06,18.55,0.06,18.48,41.41
medhmm,4,200,3.5,gamma_prob_bar_S3toS2,0.33,0.3,0.3,0.03,-0.03,8.96,-0.03,9.08,57.03
medhmm,4,200,3.5,gamma_prob_bar_S3toS3,0,0,0,0,0,NA,0,NA,100
medhmm,4,200,3.5,gamma_prob_bar_S3toS4,0.33,0.3,0.3,0.03,-0.03,9.59,-0.03,9.68,76.56
medhmm,4,200,3.5,gamma_prob_bar_S4toS1,0.33,0.32,0.32,0.02,-0.01,3.8,-0.01,3.88,92.97
medhmm,4,200,3.5,gamma_prob_bar_S4toS2,0.33,0.35,0.35,0.03,0.01,4.04,0.01,3.95,60.16
medhmm,4,200,3.5,gamma_prob_bar_S4toS3,0.33,0.33,0.33,0.03,0,0.24,0,0.32,60.16
medhmm,4,200,3.5,gamma_prob_bar_S4toS4,0,0,0,0,0,NA,0,NA,100
medhmm,4,200,19.5,dwell_mu_bar_1,19.5,19.3,19.3,0.06,-0.27,1.37,-0.27,1.41,96.09
medhmm,4,200,19.5,dwell_mu_bar_2,19.5,19.3,19.3,0.06,-0.26,1.32,-0.26,1.35,97.66
medhmm,4,200,19.5,dwell_mu_bar_3,19.5,18.92,18.92,0.06,-0.51,2.62,-0.51,2.63,95.31
medhmm,4,200,19.5,dwell_mu_bar_4,19.5,19.11,19.11,0.06,-0.42,2.14,-0.42,2.16,90.62
medhmm,4,200,19.5,gamma_prob_bar_S1toS1,0,0,0,0,0,NA,0,NA,100
medhmm,4,200,19.5,gamma_prob_bar_S1toS2,0.33,0.34,0.34,0.04,0.01,2.5,0.01,2.27,91.41
medhmm,4,200,19.5,gamma_prob_bar_S1toS3,0.33,0.33,0.33,0.05,0,0.12,0,0.39,97.66
medhmm,4,200,19.5,gamma_prob_bar_S1toS4,0.33,0.33,0.32,0.05,-0.01,2.37,-0.01,2.56,96.88
medhmm,4,200,19.5,gamma_prob_bar_S2toS1,0.33,0.35,0.35,0.04,0.02,5.28,0.02,5.07,92.19
medhmm,4,200,19.5,gamma_prob_bar_S2toS2,0,0,0,0,0,NA,0,NA,100
medhmm,4,200,19.5,gamma_prob_bar_S2toS3,0.33,0.32,0.32,0.04,-0.01,2.99,-0.01,3.23,94.53
medhmm,4,200,19.5,gamma_prob_bar_S2toS4,0.33,0.33,0.32,0.04,-0.01,2.29,-0.01,2.55,96.88
medhmm,4,200,19.5,gamma_prob_bar_S3toS1,0.33,0.33,0.33,0.04,0,0.18,0,0.01,96.09
medhmm,4,200,19.5,gamma_prob_bar_S3toS2,0.33,0.34,0.34,0.05,0.01,1.85,0.01,1.7,96.88
medhmm,4,200,19.5,gamma_prob_bar_S3toS3,0,0,0,0,0,NA,0,NA,100
medhmm,4,200,19.5,gamma_prob_bar_S3toS4,0.33,0.33,0.33,0.05,-0.01,2.03,-0.01,2.23,96.88
medhmm,4,200,19.5,gamma_prob_bar_S4toS1,0.33,0.35,0.35,0.04,0.01,4.35,0.01,4.1,96.88
medhmm,4,200,19.5,gamma_prob_bar_S4toS2,0.33,0.33,0.33,0.05,-0.01,1.94,-0.01,2.17,98.44
medhmm,4,200,19.5,gamma_prob_bar_S4toS3,0.33,0.33,0.32,0.05,-0.01,2.42,-0.01,2.64,96.88
medhmm,4,200,19.5,gamma_prob_bar_S4toS4,0,0,0,0,0,NA,0,NA,100
medhmm,4,200,99.5,dwell_mu_bar_1,99.5,81.45,82.27,0.11,-18.29,18.38,-17.57,17.66,40.8
medhmm,4,200,99.5,dwell_mu_bar_2,99.5,79.04,80.64,0.16,-20.65,20.75,-18.5,18.59,44
medhmm,4,200,99.5,dwell_mu_bar_3,99.5,79.84,82.27,0.16,-19.8,19.9,-17.54,17.63,48
medhmm,4,200,99.5,dwell_mu_bar_4,99.5,83.93,83.93,0.1,-15.97,16.05,-15.45,15.53,49.6
medhmm,4,200,99.5,gamma_prob_bar_S1toS1,0,0,0,0,0,NA,0,NA,100
medhmm,4,200,99.5,gamma_prob_bar_S1toS2,0.33,0.37,0.36,0.09,0.03,9.57,0.03,8.47,89.6
medhmm,4,200,99.5,gamma_prob_bar_S1toS3,0.33,0.33,0.32,0.1,-0.01,2.02,-0.01,3.54,99.2
medhmm,4,200,99.5,gamma_prob_bar_S1toS4,0.33,0.31,0.3,0.1,-0.03,7.55,-0.03,9.26,96.8
medhmm,4,200,99.5,gamma_prob_bar_S2toS1,0.33,0.37,0.36,0.09,0.03,10.15,0.03,8.52,92
medhmm,4,200,99.5,gamma_prob_bar_S2toS2,0,0,0,0,0,NA,0,NA,100
medhmm,4,200,99.5,gamma_prob_bar_S2toS3,0.33,0.33,0.32,0.1,0,1.4,-0.01,2.85,97.6
medhmm,4,200,99.5,gamma_prob_bar_S2toS4,0.33,0.3,0.3,0.1,-0.03,8.75,-0.03,10.3,92
medhmm,4,200,99.5,gamma_prob_bar_S3toS1,0.33,0.34,0.34,0.09,0.01,2.39,0.01,1.52,97.6
medhmm,4,200,99.5,gamma_prob_bar_S3toS2,0.33,0.32,0.32,0.1,-0.01,3.11,-0.02,5.14,94.4
medhmm,4,200,99.5,gamma_prob_bar_S3toS3,0,0,0,0,0,NA,0,NA,100
medhmm,4,200,99.5,gamma_prob_bar_S3toS4,0.33,0.34,0.33,0.1,0,0.72,0,0.78,94.4
medhmm,4,200,99.5,gamma_prob_bar_S4toS1,0.33,0.33,0.32,0.09,-0.01,2.05,-0.01,3.2,93.6
medhmm,4,200,99.5,gamma_prob_bar_S4toS2,0.33,0.33,0.33,0.1,0,0.44,0,1.26,96
medhmm,4,200,99.5,gamma_prob_bar_S4toS3,0.33,0.34,0.33,0.1,0.01,1.61,0,0.26,95.2
medhmm,4,200,99.5,gamma_prob_bar_S4toS4,0,0,0,0,0,NA,0,NA,100
medhmm,4,500,1.4,dwell_mu_bar_1,1.44,4.71,4.71,0.04,3.29,227.84,3.28,227.6,0
medhmm,4,500,1.4,dwell_mu_bar_2,1.44,10.18,10.07,0.14,8.72,604.37,8.64,598.85,0
medhmm,4,500,1.4,dwell_mu_bar_3,1.44,10.18,10.18,0.14,8.75,606.57,8.69,602.05,0
medhmm,4,500,1.4,dwell_mu_bar_4,1.44,4.76,4.76,0.04,3.3,228.85,3.3,228.67,0
medhmm,4,500,1.4,gamma_prob_bar_S1toS1,0,0,0,0,0,NA,0,NA,100
medhmm,4,500,1.4,gamma_prob_bar_S1toS2,0.33,0.23,0.22,0.08,-0.11,31.5,-0.11,33.13,71.88
